text,sentiment
Sun is shinning.........at last,positive
why doesnt he want me anymore,negative
bad hair day,negative
headache,negative
happy,positive
Stupid,negative
missed,negative
me smile.,positive
missed out,negative
"finally gone to the beach, yeaaaah!",positive
hysterical,positive
good fun,positive
lost,negative
good,positive
im back to this z-index problem...again,negative
so bored at work...,negative
love good causes,positive
Not available in my area,negative
cramps,negative
thank you,positive
FML,negative
grouchy,negative
my inbox is still empty,negative
nice,positive
lost,negative
thanks,positive
Thanks,positive
great,positive
Thanks,positive
Such a pretty baby!,positive
k  thank,positive
I loved him,positive
gorgeous!,positive
rofl uh huh,positive
funny!,positive
terrible,negative
irrelevant.,negative
good,positive
bad,negative
screwed,negative
i never knew a dentention was so hard,negative
my nail broke  I haaaaaaaaate,negative
IS disappointing,negative
hates,negative
Flap-a-taco was nice until the plebs came in.,negative
Thanks! Welcome back!,positive
sore head,negative
stupid,negative
nooooo its raining..,negative
The World is just amazing!,positive
cute!,positive
beasted,negative
UNSALVAGEABLE,negative
seems to have disappeared out of my life,negative
haha!,positive
best,positive
yessir that is 100% right,positive
thanx,positive
COOOOOOOOOL... DOOOOOOOOOWN... Patience... Is... Virtue...,positive
GOODNIGHT,positive
Good,positive
glad,positive
can`t wait to november for Jobros concert !,positive
reupload the **** thing again,negative
s not bad,positive
Im too late... Hes gone,negative
blood everywhere!!!,negative
very very cute,positive
sad.,negative
congratulatory,positive
good times.,positive
The sun is not cool,negative
...  that was meeeaaannn.,negative
Invisible car helps to boost recycling. Honest,positive
pretty.,positive
nice,positive
Happy,positive
Enjoying,positive
happy,positive
forgot,negative
thanxx,positive
poorly,negative
cant wait,positive
s disappointing,negative
thanks,positive
****,negative
i dont feel very good,negative
Welcome,positive
"Thanks,",positive
I sorry,positive
just couldn`t remember!!,negative
Work in that heat is horrible !,negative
Thanks Savvv,positive
may the fourth be with you! happy star wars day,positive
Taking care of yucky stuff.,negative
lame,negative
That`s me on a good day,positive
thank you,positive
very bad.,negative
Thank you,positive
love,positive
Thanks,positive
Congrats,positive
****,negative
My throat is killing me,negative
good,positive
great,positive
waste,negative
"SUCKS,",negative
loveeee,positive
has heart burn,negative
Happy,positive
hard,negative
tired?,negative
Aw. Toy Story 3 is coming out NEXT year.,positive
Good days with good friends ma,positive
miss yall,negative
i`m all alone,negative
nice to have you back,positive
breaks my heart.,negative
thanks,positive
terrible,negative
Happy Mothers Day!,positive
Happy,positive
happy,positive
Happy,positive
thanks,positive
E EXPENSIVE,negative
#NAME?,positive
fusterated,negative
jealous,negative
niceee,positive
I`m ill,negative
wont mind sharing,positive
..poor thing.,negative
nice,positive
"Sick. Feel like jello, can`t talk, and delirious.",negative
It`s teddy-chucking time,negative
my arms hurt!,negative
SO HUNGRY!,negative
Miss Cauzinhoooo already,negative
sorry,negative
I LLLOOOVVVEEE ICARLY,positive
SO cute,positive
"Dan`s so funny,",positive
hope your day gets better soon!!,positive
Thanks,positive
my car wont start.......,negative
I`d love to!!,positive
what a beautiful morning!,positive
FAILlllllllll,negative
Contentment,positive
noone wants to talk to me  lol,negative
so very irratated,negative
like,positive
suck,negative
Nice!,positive
yey,positive
hell yeah!,positive
win,positive
live long,positive
ShoesShoesShoes.YayYayYay.lol.I,positive
Happy Mothers day,positive
can`t,negative
I overslept  headache,negative
happy star wars dayyyy,positive
hope ya sleepin well  guys,positive
I wasn`t feeling it,negative
sweet!,positive
Happy Mothers Day!!!,positive
hurts,negative
s feel guilty,negative
e funny,positive
i really cant take this.,negative
wish!,positive
ugh I`m not doin too good,negative
Thanks,positive
kill,negative
Have a great time being whisked away,positive
lol!,positive
cheers,positive
sad,negative
haven`t been working for me all day....,negative
Epicfail,negative
i`m freezing in math class!,negative
I`m likable after all HAHAHAHAHAHAHA! Still over the moon,positive
Goodnight,positive
TY very much for FF,positive
Enjoy,positive
quashed,negative
Happy Mother`s Day to all the mothers out there!!,positive
good luck,positive
good,positive
falling apart.,negative
don`t want to work,negative
Happy,positive
thanks,positive
Great..,positive
good,positive
Happy,positive
I miss rollerblading down Shoreline.,negative
spamming,negative
The sight of it made my afternoon,positive
Bonjour Twitterland !,positive
Don`t worry.,negative
I really am insane.,negative
.it`s expensive!,negative
sweeet,positive
WELCOME,positive
great we,positive
Never ever,negative
dismal,negative
miss,negative
"I`m so sad, really really sad",negative
WHOO HOO. Congrats on getting under 200lbs,positive
I miss him.,negative
Everything Will Be Great,positive
?  not good enough,negative
rotten,negative
TY sweetheart,positive
"wow, that`s good",positive
headed to the hospital. i can`t take the pain anymore,negative
jealous.,negative
it`s cool,positive
Enjoy! Family trumps everything,positive
Bored out of my mind!  LOL,negative
Good,positive
awesome!,positive
thanks for the props,positive
i cant sleep,negative
so sad,negative
HAPPY,positive
hurts,negative
not treating me well so far.,negative
tired,negative
hope yer ok hunny,positive
thank you.,positive
sorry,negative
I don`t want to hurt you,positive
sucks!,negative
productive,positive
amazing.,positive
perfect timing.,positive
"Thanks,",positive
t kills,negative
great,positive
"ouuuuuuuuuchhhhhhhh, still hurting from the Barca spanking",negative
oops,negative
Dang,negative
sounds fun,positive
Good morning,positive
"cool,",positive
a.wish,positive
would be muchly appreciated,positive
lost a follower,negative
HAPPY B-DAY SHARON,positive
"Unfortunately not yet,",negative
is satisfied with her FP`09 review,positive
wish I could afford,negative
hangover,negative
just trying to make you feel at home?,positive
My attempts at writing tonight seem to be failing.,negative
Very bad things..,negative
die,negative
excited,positive
HAPPY MOTHER`S DAY,positive
"In pain,, poor me, I HATE THE SUN",negative
Enjoying,positive
Good night<3,positive
horrible.,negative
awesome.,positive
you better come back soon! <3,positive
she`s gone   I miss my kay way already,negative
YAY! GO TAYLOR SWIFT!! come to australia again!!!,positive
cool,positive
looking forward to coffee and driving tomorrow. really,positive
Good,positive
she has made the rite decision,positive
loves,positive
bless her!,positive
Somebody please save the polar bears!,positive
you suck,negative
i love you mooorrreeee,positive
thanks,positive
t boring,negative
gaahhhh!,negative
I **** it.,negative
bgt was absolutely excruciating to watch...poor girl.,negative
soo sick. i hate my life,negative
I hate wa,negative
"oh my god, i finally found someone online!",positive
Great,positive
happy birthday,positive
congratulations!,positive
sucks,negative
love,positive
nice place to,positive
Thanks very much!,positive
missing,negative
enjoy,positive
bored,negative
**** slow,negative
s almost working.,positive
Swords make everyone sexy.,positive
Excited,positive
I love you WAZ!,positive
likes patricia`s dress,positive
chai latte is not good,negative
"I am up to 10,000 tweets",positive
goodnight everyone.,positive
morrrning. time for school. (: ti,positive
Partied long and hard...goodnight Twitter see ya in the mornin,positive
bed. with stomach ache,negative
miss,negative
too bad no,negative
awesome.,positive
annoying,negative
is still sick,negative
****,negative
feels accomplished!!!  She got a lot done today!,positive
omgggg!! Hawaii!! That`s amazing!! I wanna live there,positive
clean,positive
HAPPY STAR WARS DAY!!!,positive
work was splendid,positive
Sorry,negative
like,positive
Well best of luck,positive
sad,negative
That`s great news,positive
worth,positive
thx,positive
Thanks.,positive
Nice,positive
I accidentaly slammed my finger in the trunk,negative
**** it!,negative
****.,negative
NOOOOO I hate traffic,negative
I miss you too.,negative
heartburn,negative
bummed,negative
amaze,positive
.sorry,negative
thats much better,positive
d its not that cold ahahah,positive
Good morning!,positive
proud,positive
can`t believe they`re divorcing,negative
scratchy,negative
ughhhhhhhhhhhh  :/,negative
doesn`t work,negative
no fair.,negative
Bad,negative
Happy,positive
e not interested,negative
hate,negative
sorry,negative
not google friendly,negative
like,positive
Hates,negative
good,positive
I need a blackberry,negative
fantastic day in the AZ sun,positive
scratchy,negative
You`re very welcome,positive
thanks,positive
nice capture,positive
"thanx,",positive
damp,negative
cool,positive
Thank,positive
thanx,positive
**** shame,negative
Oh No!,negative
BADLY!!,negative
Wow  That had to be difficult,negative
i think that studying has really started taking its toll..,negative
Missing my baby ducks,negative
hate,negative
i seriously neeed to study,positive
Wish,positive
Good morning!,positive
fun,positive
angry,negative
love,positive
love you cassie..,positive
miss,negative
they`ll tame you!,negative
my three most hated words are 'see you monday',negative
hope,positive
Yay!,positive
headache..,negative
awe...Thank you Jon!,positive
That sucks about your prints. Sorry,negative
Weather sucks!!...,negative
work soonnnnnn  it`s looking rly dead today...,negative
Wow!,positive
miss,negative
sick no,negative
"It is a sad, lonely profession.",negative
very cute kitty,positive
no fair.,negative
i`m goooooddd!,positive
**** distraaaaacting,negative
has been good fo,positive
that doesn`t sound too great,negative
Tummy hurts,negative
aww that`s cute,positive
again your fault  i didnt make u leave,negative
expensive!,negative
upset..,negative
y rock,positive
can`t sleep,negative
good morning,positive
damage..,negative
hilarious!,positive
s good,positive
fuuuuuuck  idk if andy can get youuuu,negative
hurts.,negative
blogging..it`s my new passion,positive
i had a dream that u didn`t like me,negative
make sure you practice your hooping today!,positive
"Ugh, still sick. This Calgary cold has lasted forever.",negative
.I`m very ashamed.,negative
thanks,positive
"Lol, me too!!",positive
thanks,positive
sincerely hopes that  gets better soon.,positive
Good nite,positive
I have uncontrolable,negative
always brightens,positive
Happy imma get to see some lovely ladies,positive
thnx,positive
Not feelin right.,negative
happy mothers` day to all your moms!,positive
deserve,positive
wow the weather is amazing today!,positive
i lurveeeeee you,positive
rejected,negative
awesome,positive
lol. thanks babe!,positive
Good,positive
and_jay hi!  **** your job!,negative
yaaayyy ...,positive
i love youuuuu,positive
Supernatural was good as  Loved it.,positive
"Sorry, that was a bit negative!",negative
unpleasant,negative
Sounds like yummy fun!,positive
awesome,positive
I feel actual heartbreak..,negative
cool looking sexy,positive
..impressive,positive
best,positive
jealous!,negative
"Congratuations, Sweetie.",positive
New picture isn`t working,negative
hate twitter,negative
congrats,positive
help,positive
Looking good daddio!,positive
sorry,negative
I miss,negative
"thanks for adding me, glad to have you",positive
Ugghhh,negative
not so fun,negative
hate,negative
hard,negative
Good Morning,positive
Happy,positive
useless,negative
Worst day ever.,negative
****,negative
i won`t make u cry,positive
will maybe have my cell phone soon ! Yeah !,positive
****,negative
I`m soo jealous right now!!,negative
Here comes the utter shite,negative
g...I love the classics!,positive
likes,positive
Sounds great.,positive
awwww bless her,positive
awesome,positive
Thank you!,positive
Happy Mothers Day to all the mommy`s out there!,positive
Happy,positive
loved,positive
working sucks bi,negative
wish,positive
complicated?,negative
awesome.,positive
cats are gone.,negative
sick,negative
spoiled,negative
chillin,positive
glad,positive
sorry,negative
man that sucks.,negative
Not a problem,positive
THANKS!,positive
that sucks mama,negative
Happy Birthday to my ****,positive
sadly.,negative
hurts,negative
...Thank you Mr. President!.,positive
happy,positive
dead,negative
going bad,negative
I wish I had company,negative
Good,positive
bored..,negative
miss,negative
Hilarious,positive
What a genius.,positive
Soooo happy your back!,positive
missing,negative
a very Happy Mother`s Day!!,positive
great party alenka!!  happy birthday chicky!,positive
lol.,positive
excited,positive
good,positive
sorry,negative
Sad,negative
i love cobra starship!!  thanks for the suggestion!,positive
such a classic,positive
is feeling really sick,negative
soooo jelous of you,negative
Thank you,positive
stuck,negative
stressful,negative
that would be great!!!,positive
Woohoo! Well Done!,positive
Chillaxing,positive
Finally,positive
hoping i didn`t fail english. that would just be sad,positive
miss,negative
"Talented,",positive
you awesome lady you!,positive
nice showers...,positive
Thank u,positive
good weekend,positive
Happy star wars day everyone,positive
but cant get home,negative
love,positive
Thanxs,positive
sad,negative
fail,negative
So jealous.,negative
FRUSTRATING!!,negative
i got grounded,negative
s truly enlightening,positive
"thanks,",positive
im sick.,negative
shakalohana week two of flat wavez no surfin,negative
excited,positive
bored,negative
Twitter is slowing me down today.,negative
rocks my socks,positive
careless,negative
aww,negative
Happy Birthday Chip`s sister,positive
whew finally got in to RC..,positive
headache,negative
do it and I`ll give you the first hug,positive
may the 4th be with you,positive
which i offiacial suck at,negative
bad choice,negative
i m totally confused and bored..,negative
excited!,positive
memorize,positive
Bored and lonely at work,negative
miss,negative
hurt,negative
not doing relay  oh well.,negative
Goodnight,positive
hope`s,positive
jealous,negative
i`m so tired,negative
i have sore throat. that`s suck.,negative
exciting,positive
back to my interesting emails...,positive
First Day at the new job! Yeah!,positive
miss you guys.,negative
Happy Mothers Day to all your moms!,positive
Cheers *lifts coffee cup* here here for Mondays,positive
Happy Mother`s Day!,positive
missed th,negative
not a fan,negative
thank you,positive
oh wow THANKS Wayne,positive
HAPPY MOTHERS DAY,positive
"IÃ¯Â¿Â½m so tired,had a bad day",negative
: to triste,negative
ScREW,negative
Visiting family in hospital = not fun,negative
nauseas.,negative
not so good mood..,negative
lost,negative
At work sick,negative
I wanna go see the cab really bad.,negative
"Unfortunately,",negative
bored.,negative
that sucks!,negative
_lord Can`t we just all get along?,negative
Happy Mother`s Day to all you tweeting mothers,positive
Nice Photoshop Effects,positive
better,positive
Good,positive
good,positive
booo..,negative
Enjoying,positive
Very succesful,positive
goodmorning/,positive
! Can`t wait!,positive
I`ve seriously had enough,negative
feelin ill.,negative
Gonna miss my gurl,negative
****..,negative
wants to greet all the moms a Happy Mother`s Day!!,positive
im soooo loney,negative
is saddened by Husker Access...no internet!,negative
****!,negative
jealous-,negative
Happy,positive
**** up your nose!,negative
Wishes,positive
is killing me,negative
ily,positive
best,positive
way to many chocolate animal crackers,negative
don`t know  and no not at all,negative
whooo hoooo,positive
thanks,positive
You too sweetie,positive
i wanna join,positive
Yay!,positive
was hot!,positive
"god bless, and have a great day!",positive
sad,negative
my stomach hurts,negative
don`t worry,negative
sad?,negative
happy,positive
help,positive
dead,negative
One of my favorite combonations,positive
isn`t good,negative
I can`t direct message,negative
being blown off,negative
Gutted!,negative
thanks joeman!,positive
Interesting choice.,positive
Awe,negative
enjoy your day,positive
my hair hurts,negative
goodluck,positive
pisssing me offf. Ugh,negative
Loved,positive
new beginning,positive
hate,negative
Now I feel sick.,negative
I hate that meself,negative
GOODNiGHT...HAPPY MOTHERS DAY TO ALL THE MAMi`S ON TWiTTER,positive
**** EM,negative
looks like ****,negative
Good luck,positive
happy,positive
miserable,negative
cant find my hoodie,negative
better,positive
happy birthday,positive
seriously getting hurt...,negative
no one calls me anymore,negative
suck..,negative
tough life,negative
handsome,positive
"had a great shot yesterday, editing pics now",positive
Love,positive
"Gosh, no need to be so rude.",negative
bestie,positive
Goodnight,positive
thank you!,positive
coooolest,positive
Yukky  Rainy Friday,negative
thanks,positive
wish me luck,positive
loved it!,positive
HAPPY,positive
hope,positive
hotness personified,positive
pretty,positive
sad.,negative
better.,positive
good,positive
Relaxing,positive
K ??? What??? No way!!!! No,negative
sitting around doing **** all....tired,negative
loving my new tv,positive
i`m not being mean,positive
my teeth and head hurts,negative
..hope u feel better!,positive
Good,positive
nice,positive
LoL! there u go..that`s the spirit haha,positive
"pleasure,",positive
That`s a great idea,positive
happy,positive
i loveeee him,positive
Happy,positive
Favorite,positive
Let-Down,negative
Goooooodmorning,positive
I Loveeeee Youu!,positive
"Unfortunately,",negative
won`t be ready til 5.,negative
I`d just plain go crazy,negative
awesome,positive
impressed!!,positive
Where DO you get all those wonderful toys?,positive
what a waste of lives,negative
glad,positive
sick,negative
Happy,positive
is tired an,negative
Happy Mother`s Daaay!!,positive
Love,positive
stupid wireless wont work,negative
scary,negative
hoping,positive
so cold,negative
nice,positive
don`t understand,negative
HAPPY MOTHERS DAY!,positive
blogtv was fun! can`t wait til next time,positive
smells delicious,positive
epic fail with the chocolate fountain that got CLOGGED,negative
I just wanna be better already,positive
i`m very sorry,negative
Has a headache,negative
i cant get through,negative
Won,positive
dead?,negative
nice.,positive
Yay I`m getting the IPhone in August!!,positive
"awe I am sorry, probably true.",positive
Misses the good old days!,negative
wish,positive
nice one,positive
hey you ****!! that`s kinda mean dont yu think?!,negative
blind faith.,negative
How inconsiderate!,negative
I can`t take it,negative
can`t believe it,negative
has got a degree in BS.,positive
thanks!!!,positive
sad sad,negative
a wonderful time!,positive
Nothing like home-made paranthas for breakfast,positive
I meant awesome Christian artists.,positive
Please don`t vote for her out of sympathy!,negative
he was really nice,positive
fucken tired as ****,negative
fun.,positive
Good Morning,positive
ache!!,negative
wish,positive
I love that Joan Rivers says it`s Family First.,positive
Love you mom,positive
bad.,negative
****,negative
I have trouble updating!!!,negative
heheh ....qualifying was pretty exciting tho,positive
My face an my arms. Tragic. Seriously.,negative
Awesome.,positive
i miss,negative
had the best weekend EVER,positive
this is a horrible day.,negative
Awesome!,positive
love,positive
sorry,negative
sucks..,negative
thanks!,positive
Good Luck!!!,positive
Cant wait to do some of those things,positive
I totally forgot,negative
good morning!,positive
Ugh I can`t breathe,negative
****,negative
I`m stuck with BOO!!!! Jeeeez shoot me now,negative
Works like a charm,positive
endometriosis.,negative
Needs a yummy breakfast,positive
LOVE IT! U have a great job!!,positive
wiff,negative
Hahaha!,positive
Ugh!,negative
so boring here.,negative
I have a right to be sad,negative
Thanks.,positive
love,positive
I am not doing much  all well!,negative
pleasantly,positive
My teratoma has a cavity and is experiencing male-pattern baldness,negative
LUCY IS HATING ON MY GWEG!,negative
weird?,negative
****,negative
This is not my day,negative
Boring?,negative
watching because i said so! happy mothers day!,positive
fail.,negative
so fun!,positive
sad,negative
fun!,positive
G`night Twitterverse! Thanks for keeping me entertained!!,positive
miss,negative
I wish,positive
no where to go...,negative
! dummyhead.,negative
_it_good,positive
WE LOVE YOU TOO!!,positive
OUCH! my earphones just shocked me,negative
sad,negative
i miss you too,negative
Nice find,positive
an incredibly great day.  hahaha!,positive
awww thank you,positive
roughnight,negative
i love it wh,positive
Happy,positive
i tried calling work 5 times and they wont answer,negative
Wants somebody to cheer her up,positive
Brain just went blank,negative
thanks,positive
just making sure!,positive
happy,positive
great!,positive
****,negative
sad,negative
yum!,positive
excited,positive
sunburn,negative
"I be ok, you?",positive
you guys look so nice,positive
loveeeee her,positive
welcome home babe!,positive
exhausted,negative
it`s not going well,negative
healthy,positive
I really love this picture!,positive
ACHE!!,negative
Great!,positive
funny,positive
LOL.,positive
b I missed it.,negative
interesting,positive
miss,negative
Sorrry,negative
*pokes and runs away*,negative
iTunes music library is even bipolar!,negative
annoyed,negative
love,positive
<--has no internet for the weekend,negative
love,positive
3am i still cant sleep,negative
crappy,negative
i miss you,negative
Britains got Talent just gets better every week,positive
Aww,negative
thankyooooou,positive
"I miss my doggy,my hammy,my turtle && my fishes",negative
an amazing song,positive
miss,negative
awww i missed,negative
Hahaha!,positive
gutted,negative
the perfect after food...,positive
Gud nite all..,positive
i like,positive
Happy,positive
is wishing good night everybody,positive
de wereld need more ppl like you!,positive
whoops..,negative
graandma`s houseee  i havee too leave now! <3,negative
wants see my friends  ;-) http://plurk.com/p/wxnwa,positive
excited,positive
what a great Sunday,positive
wrong,negative
Fun times,positive
thanks!! Yes!! A lot!,positive
HAPPY,positive
fail,negative
fun,positive
Test discovery just missed being in Py3.1,negative
died,negative
Nice,positive
Loving,positive
honour,positive
my internet just crashed  i will ttytomorrow.,negative
Morning workout sesh.  Love Life.,positive
ultra sweet,positive
yum.,positive
awesome!,positive
hope your day was good!,positive
Happy,positive
sad,negative
really guilty,negative
Is sad wh,negative
"wow, thats so cool!",positive
`s an important date!,positive
**** i always miss it,negative
Justin`s blanket shed black lint all over my white skirt.,negative
God Bless you brother!,positive
popular,positive
sunburn,negative
loving,positive
great,positive
Music soothes the soul...,positive
Dont like this part of the job,negative
what?! i just missed home + away! nooooooooo,negative
douchebag,negative
I missed a lot of classes,negative
Longggg day,negative
i liked,positive
.just don`t start cats on fire..,negative
Sadness,negative
had a great day,positive
weak!!,negative
got mad cramps in my legs,negative
KILLED,negative
I can barely focus,negative
"pissed,",negative
Ughhhh.,negative
hey Samantha welcome  and happy mother`s day!!,positive
Thanks,positive
happpy,positive
Thanks,positive
congrats,positive
e discretion,negative
Thank,positive
exciting Sunday,positive
hates the sound of silence..doesnt like being shut out..,negative
Nice sunny day,positive
love,positive
good night,positive
Meeeee! It sounds delicious,positive
bad,negative
Wohoo!,positive
'i hear its wonderful in california.',positive
so i`m screwed,negative
good!,positive
miss,negative
baby alex i miss you  ily<3 good night</3,positive
"Wow,",positive
slave.,negative
special,positive
trying to fix some weird query,negative
"bored, nothing to do",negative
happy mother`s day!!!,positive
Eating a bagel  yummy,positive
special,positive
that`s awesome.,positive
Imma miss you!,negative
oops,negative
Finally lost FM97,negative
happy,positive
Thanks,positive
am hungry agaaaaaaiiiin maaaam,negative
lower than zero..,negative
it wont work in the uk,negative
OMG SO srry to hear that,negative
Isn`**** exciting,positive
awesome.,positive
"Good morning, everyone!",positive
"Its friday and i`m sick,",negative
headache,negative
Yes! You do!,positive
favorite,positive
i miss our walks home together,negative
Woo!,positive
so hard..,negative
Very kew,positive
'Happy Mothers Day!',positive
it wont work for me,negative
good night..,positive
too late,negative
!  So proud of him!,positive
Thanks!,positive
Hopefully!,positive
weLcomE,positive
economy is depressing...,negative
Thanks!,positive
Will miss my baby for 2 days,negative
not comfortable,negative
i heart your face,positive
Long night ahead.,negative
I wish,positive
o looking forward,positive
happy,positive
Same to your mom too pril,positive
SO beautiful,positive
Sweet!,positive
boredom,negative
traumatized,negative
Airsoft is horrible!!,negative
too much,negative
sad..,negative
beautiful,positive
gutted -,negative
loves,positive
"Yeah, plus I always totally overspend",negative
GOOD,positive
nooooooo  sue is retiring  no no no no!,negative
A kidney stone.,negative
new supernatural tonight!,positive
He seemed all happy about it,positive
last forever.,positive
It`s your inherent humility,positive
Battles,positive
I like you,positive
lol....,positive
: eww. dislike,negative
good to have a (boy)friend like you,positive
my knee hurts!,negative
what the hell,negative
gooooonight,positive
headache,negative
you`re welcome Chica,positive
I hate that,negative
Counting down..,negative
I never was good,negative
womp womp woooomp!,positive
maybe I missed my chance this time,negative
one of the best!,positive
exciting,positive
miss,negative
"Ahhh,",negative
distracted,negative
Sadly cannot listen...  *sob*,negative
Happy Star Wars day! May the 4th be with you!,positive
okay thank you! i,positive
i missed the game,negative
hopes,positive
best in the land!,positive
My knee is killing me,negative
"awww  no problem , sorry for tha loss",positive
doesn`t sound so great at,negative
enjoy,positive
blessed,positive
doesnt look good,negative
good wakeup music,positive
I`m sooo HAPPY De,positive
thanks,positive
Have a good day,positive
all the best for art attack. thanks 4d follow,positive
fantastic,positive
argue,negative
Just uploading photos from the cell...nothin like true candid-ness!,negative
office hours/trying to make my computer feel better.,positive
OMGSH,positive
Thank,positive
sumptuous,positive
Wonderful,positive
never invite,negative
sober weekend ahead...,negative
bahhhh.. cold weather is making my teeth hurt.,negative
utterly digusted wi,negative
Ugh..  this sucks.,negative
sorry,negative
oh my... now im offended.,negative
I wish,positive
im still devastated,negative
welcomed,positive
that`s meAn,negative
Thank you for YOUR positive energy,positive
stupid,negative
please,positive
HAPPY,positive
My besties.,positive
bored at,negative
Happy Mother`s Dayyyy. Love you mummyyyyyyyy,positive
breaks,negative
Bloody boiling in here...,negative
fantastic!,positive
Yesssssir,positive
happy,positive
Good luck tonight! have fun,positive
it`s not working,negative
wish i,negative
hurts.,negative
Dead gerbil,negative
love,positive
feel really sick,negative
should be hilarious,positive
missed,negative
No worries,positive
"Oh yeah,",positive
you`re so cute.,positive
too bad,negative
funny!,positive
hope,positive
feel alllll right!,positive
good,positive
fake asses!,negative
you are the sweetest.  love you cuz!,positive
broken my leg,negative
familiar,positive
weee! internet is back here at home!,positive
good,positive
my finger hurts  lmao,negative
bad,negative
doesn`t sound very good,negative
Morning my Awesome brudder!,positive
i so feel neglected,negative
Can`t sleep!!,negative
bad,negative
have funnn!,positive
miss,negative
Worried,negative
Happy Mother`s Day mommy and grandma haha  ily,positive
thankyou,positive
thanks,positive
You are an absolute legend! Love love love it,positive
loveeeeeeeeeeeeeeeeeeeeee,positive
feel crappy today,negative
thankyou,positive
The link doesn`t work,negative
good,positive
aww such a cutie,positive
Thanks,positive
morning darlin`  Hope you`re feelin` tip-top,positive
Thanks! carry on the craziness again!!!,positive
good luck with your auction,positive
Some guy just said he wanted to spank me,negative
r I`m excited anyway.,positive
Thanks,positive
we will work on that mama  sweetdreams!,positive
too long,negative
delicious,negative
Hates,negative
happy,positive
very bad dream,negative
fun!,positive
thanks,positive
Nooooooo!,negative
go away,negative
just finished baking some cinnamon rolls   soooo yummy!,positive
awesomeness,positive
missing,negative
had fun at,positive
shame on me!!!,negative
oh plzzzzz,negative
So sad.,negative
I need one too.,positive
feeling extremally ill,negative
My Respect For Travis Clark Has Gone Down,negative
Twitter you suck,negative
fun.,positive
Can`t wait 4 a real bed!,positive
chillin,positive
too freaky,negative
flu,negative
"weather`s... ugh, something like asthma. So",negative
Excited,positive
love,positive
wants to cool down,positive
#3wordsaftersex it never started...,negative
hates me,negative
With sean s. watching house of a thousand corpes,negative
PRIDE,positive
i hate being sick.,negative
wiped.,negative
"hit the wall,",negative
"AND, We have your fabulous interracial ****!  WOOT!",positive
amazing,positive
hope,positive
i couldnt respond cuz i maxed out,negative
Cough drops taste gross...blaaaqhhh,negative
*waves to make it all OK again*,positive
life is good.,positive
I just crashed,negative
OMFG,negative
FUN!,positive
beautiful,positive
tired,negative
so expensive,negative
rubbish,negative
I have MAJOR CRAMPLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,negative
wrong size,negative
bad!,negative
I love her so,positive
